CVE,DESCRIP
1,Secretaría de salud
2,IMSS BIENESTAR
3,IMSS
4,ISSSTE
5,PEMEX
6,Secretaría de la Defensa Nacional (SEDENA)
7,Secretaría de Marina (SEMAR)
8,Otra unidad pública
9,Unidad médica privada
10,Vía pública
11,Hogar
12,Otro lugar
13,OPD Servicios de Salud IMSS BIENESTAR
99,No especificado
