CVE,DESCRIP
1,Ninguna
2,IMSS
3,ISSSTE
4,PEMEX
5,SEDENA
6,SEMAR
7,Reportado como equivalente al Seguro Popular
8,Otra
9,IMSS BIENESTAR
10, Instituto de Seguridad Social para las Fuerzas Armadas Mexicanas (ISSFAM)
12,OPD Servicios de Salud IMSS BIENESTAR
99,No especificada
