CVE,DESCRIP
22,22 Semanas
23,23 Semanas
24,24 Semanas
25,25 Semanas
26,26 Semanas
27,27 Semanas
28,28 Semanas
29,29 Semanas
30,30 Semanas
31,31 Semanas
32,32 Semanas
33,33 Semanas
34,34 Semanas
35,35 Semanas
36,36 Semanas
37,37 Semanas
38,38 Semanas
39,39 Semanas
40,40 Semanas
41,41 Semanas
42,42 Semanas
88,No aplica
99,No especificado
