CAP,GPO,DESCRIP
9,5,Enfermedad cardiopulmonar y enfermedades de la circulación pulmonar (I26-I28)
9,6,Otras formas de enfermedad del corazón (I30-I52)
9,7,Enfermedades cerebrovasculares (I60-I69)
9,8,"Enfermedades de las arterias, de las arteriolas y de los vasos capilares (I70-I79)"
9,9,"Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte (I80-I89)"
9,10,Otros trastornos y los no especificados del sistema circulatorio (I95-I99)
10,,Enfermedades del sistema respiratorio
10,1,Infecciones agudas de las vías respiratorias superiores (J00-J06)
10,2,Influenza (gripe) y neumonía (J09-J18)
10,3,Otras infecciones agudas de las vías respiratorias inferiores (J20-J22)
10,4,Otras enfermedades de las vías respiratorias superiores (J30-J39)
10,5,Enfermedades crónicas de las vías respiratorias inferiores (J40-J47)
10,6,Enfermedades del pulmón debidas a agentes externos (J60-J70)
10,7,Otras enfermedades respiratorias que afectan principalmente al intersticio  (J80-J84)
10,8,Afecciones supurativas y necróticas de las vías respiratorias inferiores (J85-J86)
10,9,Otras enfermedades de la pleura (J90-J94)
10,10,Otras enfermedades del sistema respiratorio (J95-J99)
11,,Enfermedades del sistema digestivo
11,1,"Enfermedades de la cavidad bucal, de las glándulas salivales y de los maxilares (K00-K14)"
11,2,"Enfermedades del esófago, del estómago y del duodeno (K20-K31)"
11,3,Enfermedades del apéndice (K35-K38)
11,4,Hernia (K40-K46)
11,5,Enteritis y colitis no infecciosas (K50-K52)
11,6,Otras enfermedades de los intestinos (K55-K64)
11,7,Enfermedades del peritoneo (K65-K67)
11,8,Enfermedades del hígado (K70-K77)
11,9,"Trastornos de la vesícula biliar, de las vías biliares y del páncreas (K80-K87)"
11,10,Otras enfermedades del sistema digestivo (K90-K93)
12,,Enfermedades de la piel y del tejido subcutáneo
12,1,Infecciones de la piel y del tejido subcutáneo (L00-L08)
12,2,Trastornos flictenulares (L10-L14)
12,3,Dermatitis y eczema (L20-L30)
12,4,Trastornos papuloescamosos (L40-L45)
12,5,Urticaria y eritema (L50-L54)
12,6,Trastornos de la piel y del tejido subcutáneo relacionados con radiación (L55-L59)
12,7,Trastornos de las faneras (L60-L75)
12,8,Otros trastornos de la piel y del tejido subcutáneo (L80-L99)
13,,Enfermedades del sistema osteomuscular y del tejido conjuntivo
13,1,Artropatías infecciosas (M00-M03)
13,2,Poliartropatías inflamatorias (M05-M14)
13,3,Artrosis (M15-M19)
13,4,Otros trastornos articulares (M20-M25)
13,5,Trastornos sistémicos del tejido conjuntivo (M30-M36)
13,6,Dorsopatías deformantes (M40-M43)
13,7,Espondilopatías (M45-M49)
13,8,Otras dorsopatías (M50-M54)
13,9,Trastornos de los músculos (M60-M63)
13,10,Trastornos de los tendones y de la sinovia (M65-M68)
13,11,Otros trastornos de los tejidos blandos (M70-M79)
13,12,Trastornos de la densidad y de la estructura óseas (M80-M85)
13,13,Otras osteopatías (M86-M90)
13,14,Condropatías (M91-M94)
13,15,Otros trastornos del sistema osteomuscular y del tejido conjuntivo (M95-M99)
14,,Enfermedades del sistema genitourinario
14,1,Enfermedades glomerulares (N00-N08)
14,2,Enfermedad renal tubulointersticial (N10-N16)
14,3,Insuficiencia renal (N17-N19)
14,4,Litiasis urinaria (N20-N23)
14,5,Otros trastornos del riñón y del uréter (N25-N29)
14,6,Otras enfermedades del sistema urinario (N30-N39)
14,7,Enfermedades de los órganos genitales masculinos (N40-N51)
14,8,Trastornos de la mama (N60-N64)
14,9,Enfermedades inflamatorias de los órganos pélvicos femeninos (N70-N77)
14,10,Trastornos no inflamatorios de los órganos genitales femeninos (N80-N98)
14,11,Otros trastornos del sistema genitourinarios (N99)
15,,"Embarazo, parto y puerperio"
15,1,Embarazo terminado en aborto (O00-O08)
15,2,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)"
15,3,Otros trastornos maternos relacionados principalmente con el embarazo (O20-O29)
15,4,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48)
15,5,Complicaciones del trabajo de parto y del parto (O60-O75)
15,7,Complicaciones principalmente relacionadas con el puerperio (O85-O92)
15,8,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99)
16,,Ciertas afecciones originadas en el período perinatal
16,1,"Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto (P00-P04)"
16,2,Trastornos relacionados con la duración de la gestación y el crecimiento fetal (P05-P08)
16,3,Traumatismo del nacimiento (P10-P15)
16,4,Trastornos respiratorios y cardiovasculares específicos del período perinatal (P20-P29)
16,5,Infecciones específicas del período perinatal (P35-P39)
16,6,Trastornos hemorrágicos y hematológicos del feto y del recién nacido (P50-P61)
16,7,Trastornos endocrinos y metabólicos transitorios específicos del feto y del recién nacido (P70-P74)
16,8,Trastornos del sistema digestivo del feto y del recién nacido (P75-P78)
16,9,Afecciones asociadas con la regulación tegumentaria y la temperatura del feto y del recién nacido (P80-P83)
16,10,Otros trastornos originados en el periodo perinatal (P90-P96)
17,,"Malformaciones  congénitas, deformidades y anomalías cromosómicas"
17,1,Malformaciones congénitas del sistema nervioso (Q00-Q07)
17,2,"Malformaciones congénitas del ojo, del oído, de la cara y del cuello (Q10-Q18)"
17,3,Malformaciones congénitas del sistema circulatorio (Q20-Q28)
17,4,Malformaciones congénitas del sistema respiratorio (Q30-Q34)
17,5,Fisura del paladar y labio leporino (Q35-Q37)
17,6,Otras malformaciones congénitas del sistema digestivo (Q38-Q45)
17,7,Malformaciones congénitas de los órganos genitales (Q50-Q56)
17,8,Malformaciones congénitas del sistema urinario (Q60-Q64)
17,9,Malformaciones y deformidades congénitas del sistema osteomuscular (Q65-Q79)
17,10,Otras malformaciones congénitas (Q80-Q89)
17,11,"Anomalías cromosómicas, no clasificadas en otra parte (Q90-Q99)"
18,,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte"
18,1,Síntomas y signos que involucran los sistemas circulatorio y respiratorio (R00-R09)
18,2,Síntomas y signos que involucran el sistema digestivo y el abdomen (R10-R19)
18,3,Síntomas y signos que involucran la piel y el tejido subcutáneo (R20-R23)
18,4,Síntomas y signos que involucran los sistemas nervioso y osteomuscular (R25-R29)
18,5,Síntomas y signos que involucran el sistema urinario (R30-R39)
18,6,"Síntomas y signos que involucran el conocimiento, la percepción, el estado emocional y la conducta (R40-R46)"
18,7,Síntomas y signos que involucran el habla y la voz (R47-R49)
18,8,Síntomas y signos generales (R50-R69)
18,9,"Hallazgos anormales en el examen de sangre, sin diagnóstico (R70-R79)"
18,10,"Hallazgos anormales en el examen de orina, sin diagnóstico (R80-R82)"
18,11,"Hallazgos anormales en el examen de otros líquidos, sustancias y tejidos corporales, sin diagnóstico (R83-R89)"
18,12,"Hallazgos anormales en diagnóstico por imágenes y en estudios funcionales,  sin diagnóstico (R90-R94)"
18,13,Causas de mortalidad mal definidas y desconocidas (R95-R99)
20,,Causas externas de morbilidad y de mortalidad
20,1,Peatón lesionado en accidente de transporte (V01-V09)
20,2,Ciclista lesionado en accidente de transporte (V10-V19)
20,3,Motociclista lesionado en accidente de transporte (V20-V29)
20,4,Ocupante de vehículo de motor de tres ruedas lesionado en accidente de transporte (V30-V39)
20,5,Ocupante de automóvil lesionado en accidente de transporte (V40-V49)
